Engine_speed_rpm,Engine_torque_Nm,Power_in_kW
1247.417,4.22,5.26409974
1240.5,3.727,4.6233435
1206.75,8.652,10.440801
1204,3.727,4.487308
1178,7.667,9.031726
1164.25,5.697,6.63273225
1140,8.16,9.3024
1125.75,6.19,6.9683925
1101.25,7.667,8.44328375
1060.25,11.607,12.30632175
1069.5,10.622,11.360229
1070,10.13,10.8391
1040.75,11.115,11.56793625
1030.25,12.1,12.466025
1028.5,11.607,11.9377995
1005,12.592,12.65496
1017,13.577,13.807809
998,11.115,11.09277
986,16.04,15.81544
1004,11.115,11.15946
966.25,14.07,13.5951375
980.5,16.532,16.209626
974,11.115,10.82601
917,19.98,18.32166
978.75,12.592,12.32442
885.75,18.502,16.3881465
944.5,18.502,17.475139
922.75,12.1,11.165275
904.25,20.472,18.511806
942.5,13.577,12.7963225
866.5,18.01,15.605665
921.5,18.995,17.5038925
914.75,10.622,9.7164745
858,19.98,17.14284
923.25,17.025,15.71833125
859.5,13.085,11.2465575
801.75,14.07,11.2806225
897.75,18.502,16.6101705
878.25,10.622,9.3287715
850.5,19.487,16.5736935
907.75,9.145,8.30137375
842.5,15.547,13.0983475
862.75,18.01,15.5381275
879,8.16,7.17264
840,13.577,11.40468
861.75,14.562,12.5488035
838.25,11.115,9.31714875
842.75,16.04,13.51771
866.25,8.652,7.494795
836.25,9.637,8.05894125
837,16.04,13.42548
864.25,7.667,6.62620475
837.25,10.13,8.4813425
840.25,11.115,9.33937875
843.75,7.175,6.05390625
829.25,10.13,8.4003025
842,10.13,8.52946
832.5,7.175,5.9731875
832,8.652,7.198464
843,6.19,5.21817
815.75,8.16,6.65652
838.5,7.667,6.4287795
824.75,5.205,4.29282375
812,8.652,7.025424
825.75,6.682,5.5176615
812.5,6.682,5.429125
818,6.19,5.06342
807.5,6.682,5.395715
810.75,6.19,5.0185425
805.5,6.19,4.986045
793.5,8.16,6.47496
795.75,8.652,6.884829
804,4.712,3.788448
782,8.16,6.38112
786,8.652,6.800472
795.75,4.712,3.749574
769.75,7.175,5.52295625
771,10.13,7.81023
779.75,7.667,5.97834325
743.75,13.085,9.73196875
794,5.697,4.523418
777.75,1.757,1.36650675
745.75,11.607,8.65592025
782,7.667,5.995594
777.5,4.22,3.28105
752.25,10.622,7.9903995
778.25,3.235,2.51763875
760.25,3.727,2.83345175
764,8.652,6.610128
777.25,2.742,2.1312195
757,4.22,3.19454
747.75,9.145,6.83817375
778.25,6.19,4.8173675
764,2.742,2.094888
760.75,7.175,5.45838125
776.25,5.697,4.42229625
757,3.235,2.448895
764,7.175,5.4817
774.25,4.22,3.267335
763.75,4.22,3.223025
771,4.712,3.632952
779.5,1.757,1.3695815
762,1.757,1.338834
761.75,6.19,4.7152325
767,4.712,3.614104
761.75,4.712,3.589366
767.25,5.205,3.99353625
769.5,3.235,2.4893325
764.75,3.235,2.47396625
761.25,3.727,2.83717875
758.75,6.19,4.6966625
774.25,4.22,3.267335
751.5,4.22,3.17133
751.5,8.16,6.13224
761.25,5.205,3.96230625
759.75,6.19,4.7028525
763.75,4.22,3.223025
762.75,4.22,3.218805
756,4.712,3.562272
755,11.607,8.763285
805,11.115,8.947575
801.25,10.622,8.5108775
822,9.637,7.921614
831,4.22,3.50682
801.5,4.712,3.776668
796.5,5.697,4.5376605
808.75,0.773,0.62516375
791.25,1.757,1.39022625
796.5,7.667,6.1067655
813.25,3.727,3.03098275
801,4.712,3.774312
793,5.205,4.127565
775,6.19,4.79725
727.75,14.562,10.5974955
703.75,11.607,8.16842625
690,10.622,7.32918
688.25,12.1,8.327825
701.5,15.547,10.9062205
715.5,17.517,12.5334135
737,18.502,13.635974
754.25,17.025,12.84110625
749.25,15.055,11.27995875
742,17.025,12.63255
749,17.517,13.120233
752.75,16.04,12.07411
753.25,16.04,12.08213
755,16.04,12.1102
757.25,14.562,11.0270745
757,14.562,11.023434
745.5,16.532,12.324606
749,16.532,12.382468
751,17.025,12.785775
749.5,16.04,12.02198
749.75,17.025,12.76449375
745.25,17.025,12.68788125
749.75,17.025,12.76449375
741,17.517,12.980097
747,17.025,12.717675
745,17.025,12.683625
746.5,17.517,13.0764405
747.5,17.025,12.7261875
742.25,17.517,13.00199325
745.5,17.517,13.0589235
739.25,17.518,12.9501815
741.5,18.502,13.719233
749.5,17.517,13.1289915
741.25,17.025,12.61978125
733.25,18.502,13.5665915
747,18.502,13.820994
743.25,18.01,13.3859325
726,18.502,13.432452
749,18.01,13.48949
740.25,17.517,12.96695925
729,19.487,14.206023
747.25,18.502,13.8256195
741.5,18.502,13.719233
750.5,18.01,13.516505
752,17.025,12.8028
738.25,18.01,13.2958825
751.5,18.502,13.904253
762.75,16.04,12.23451
754.25,15.055,11.35523375
755,16.532,12.48166
756.75,15.547,11.76519225
752.5,15.548,11.69987
761,16.04,12.20644
756,15.547,11.753532
757.5,15.055,11.4041625
757.25,16.04,12.14629
755,16.04,12.1102
756.5,15.055,11.3891075
755.75,16.04,12.12223
748.5,16.532,12.374202
757,16.532,12.514724
750,16.04,12.03
767,48.545,37.234015
801.5,50.515,40.4877725
875.25,46.083,40.33414575
952.25,50.023,47.63440175
980,51.007,49.98686
996.25,51.007,50.81572375
1023.75,51.5,52.723125
1059.75,54.948,58.231143
1105.75,55.933,61.84791475
1150.5,64.798,74.550099
1198.75,81.542,97.7484725
1288.25,81.05,104.4126625
1358.75,77.11,104.7732125
1405,77.11,108.33955
1442.5,76.618,110.521465
1468.5,77.11,113.236035
1464.5,79.08,115.81266
1466,79.572,116.652552
1473.5,75.14,110.71879
1464.25,76.125,111.4660313
1450.75,79.08,114.72531
1432.75,81.543,116.8307333
1438.25,83.02,119.403515
1461.5,85.975,125.6524625
1509.75,86.96,131.28786
1567.25,84.497,132.4279233
1601,83.02,132.91502
1621,81.542,132.179582
1645,81.542,134.13659
1661,80.557,133.805177
1675.5,80.557,134.9732535
1690.25,80.065,135.3298663
1729.5,78.587,135.9162165
1764,77.602,136.889928
1800,76.125,137.025
1826.75,75.14,137.261995
1858,74.155,137.77999
1881.5,73.17,137.669355
1906.75,72.677,138.5768698
1942.25,71.692,139.243787
1972.5,70.707,139.4695575
1963.5,71.2,139.8012
1931.5,72.678,140.377557
1855.25,76.618,142.1455445
1777,95.825,170.281025
1715.5,104.69,179.595695
1678.5,108.138,181.509633
1646.75,110.6,182.13055
1736.25,106.167,184.3324538
1781,103.212,183.820572
1778.5,103.212,183.562542
1770.25,104.69,185.3274725
1782.25,104.69,186.5837525
1798.75,105.183,189.1979213
1781.75,109.615,195.3065263
1734.25,110.6,191.80805
1688,111.585,188.35548
1681,112.57,189.23017
1684.5,113.062,190.452939
1698.5,113.063,192.0375055
1716.5,113.555,194.9171575
1733.25,114.048,197.673696
1747,114.54,200.10138
1764,114.54,202.04856
1778.75,115.032,204.61317
1800.75,101.735,183.1993013
1811.75,86.96,157.54978
1819.75,80.557,146.5936008
1856.75,54.455,101.1093213
1851.5,28.845,53.4065175
1857.75,17.517,32.54220675
1868.75,7.175,13.40828125
1864.5,-0.705,-1.3144725
1874.5,4.713,8.8345185
1880.75,15.055,28.31469125
1908.25,17.025,32.48795625
1927.75,28.353,54.65749575
1931,54.455,105.152605
1980,70.708,140.00184
2051.75,77.603,159.2219553
2076.25,83.512,173.39179
2079.25,99.765,207.4363763
2124.25,100.75,214.0181875
2135.5,99.765,213.0481575
2116,99.273,210.061668
2092.75,100.257,209.8128368
2090.75,101.242,211.6717115
2107,100.257,211.241499
2110.5,100.257,211.5923985
2098.5,86.96,182.48556
2080,69.23,143.9984
2057.5,65.782,135.346465
1859.5,52.978,98.512591
1683,57.41,96.62103
1557.25,62.828,97.838903
1486.5,65.782,97.784943
1441.5,67.753,97.6659495
1395.25,69.722,97.2796205
1410.75,69.722,98.3603115
1413.5,69.23,97.856605
1415.75,69.722,98.7089215
1425.5,71.2,101.4956
1425.75,71.2,101.5134
1439,71.2,102.4568
1437.5,70.707,101.6413125
1445.75,70.707,102.2246453
1452.5,70.215,101.9872875
1459.5,70.215,102.4787925
1460.5,66.275,96.7946375
1468.75,41.157,60.44934375
1471.5,25.89,38.097135
1463.75,18.01,26.3621375
1473,17.025,25.077825
1471.5,16.04,23.60286
1477.25,16.04,23.69509
1471.75,16.04,23.60687
1475.25,12.592,18.576348
1474.25,9.637,14.20734725
1470.25,3.727,5.47962175
1467.25,-0.705,-1.03441125
1455.75,-1.198,-1.7439885
1435.5,-2.183,-3.1336965
1433,-2.675,-3.833275
1456.5,-3.168,-4.614192
1458,-3.66,-5.33628
1448.75,-4.153,-6.01665875
1447,-4.645,-6.721315
1446.75,-5.138,-7.4334015
1440.25,-5.63,-8.1086075
1437.75,-6.123,-8.80334325
1431,-7.6,-10.8756
1432.25,-9.57,-13.7066325
1422.75,-12.033,-17.11995075
1422.75,-14.988,-21.324177
1424,-18.435,-26.25144
1407.75,-21.39,-30.1117725
1404,-24.838,-34.872552
1391.25,-24.838,-34.5558675
1400.25,-24.838,-34.7794095
1380.75,-24.838,-34.2950685
1390.5,-24.838,-34.537239
1368.75,-24.838,-33.9970125
1375.25,-24.838,-34.1584595
1360.75,-24.838,-33.7983085
1361,-24.838,-33.804518
1352,-24.838,-33.580976
1348,-19.913,-26.842724
1346.75,4.713,6.34723275
1349.25,10.623,14.33308275
1340.75,11.115,14.90243625
1331.5,11.115,14.7996225
1328.75,11.115,14.76905625
1330,11.608,15.43864
1344.25,17.518,23.5485715
1413,24.412,34.494156
1446.75,29.83,43.1565525
1415.5,32.785,46.4071675
1392,34.755,48.37896
1412.5,28.352,40.0472
1445,17.025,24.601125
1435.75,11.607,16.66475025
1412.5,5.697,8.0470125
1380.5,0.28,0.38654
1340.5,-1.198,-1.605919
1325.25,-1.69,-2.2396725
1312.75,-2.675,-3.51160625
1296.25,-3.168,-4.10652
1291.25,-3.66,-4.725975
1301.75,-4.153,-5.40616775
1302.75,-4.645,-6.05127375
1307.25,-4.645,-6.07217625
1306.75,-5.138,-6.7140815
1304.5,-6.123,-7.9874535
1292.5,-7.108,-9.18709
1281.75,-9.078,-11.6357265
1276.5,-11.048,-14.102772
1265.5,-14.003,-17.7207965
1243,-17.45,-21.69035
1245.25,-20.405,-25.40932625
1228.5,-23.853,-29.3034105
1215.25,-27.3,-33.176325
1194.5,-30.255,-36.1395975
1204.25,-34.195,-41.17932875
1203.75,-36.165,-43.53361875
1211.75,-38.628,-46.807479
1252,-40.598,-50.828696
1300.25,-41.583,-54.06829575
1349,-41.583,-56.095467
1399,-42.075,-58.862925
1448.75,-42.075,-60.95615625
1489.25,-42.075,-62.66019375
1551.75,-42.075,-65.28988125
1612.5,-42.075,-67.8459375
1582,-30.747,-48.641754
1564.5,-18.435,-28.8415575
1557,-16.958,-26.403606
1559,0.772,1.203548
1554.75,13.578,21.1103955
1541.25,26.875,41.42109375
1565,26.875,42.059375
1614.75,26.875,43.39640625
1653,26.382,43.609446
1671.75,26.875,44.92828125
1626,28.845,46.90197
1585.25,32.785,51.97242125
1586.25,33.277,52.78564125
1638,32.785,53.70183
1673.25,32.785,54.85750125
1668.5,32.785,54.7017725
1673,32.785,54.849305
1685.75,23.92,40.32314
1682.75,15.547,26.16171425
1667.25,10.13,16.8892425
1654.75,8.16,13.50276
1645.75,8.16,13.42932
1648.25,8.16,13.44972
1647.5,8.16,13.4436
1648.5,8.16,13.45176
1645.25,8.16,13.42524
1642.75,8.16,13.40484
1640.5,8.16,13.38648
1634.75,8.16,13.33956
1630.25,8.16,13.30284
1633.75,11.115,18.15913125
1632.75,18.01,29.4058275
1648.5,18.502,30.500547
1669,18.502,30.879838
1667.5,20.473,34.1387275
1673.5,26.875,44.9753125
1673.25,34.755,58.15380375
1691,48.052,81.255932
1740.5,51.992,90.492076
1777,51.5,91.5155
1783.75,52.485,93.62011875
1795.25,52.485,94.22369625
1806.5,52.485,94.8141525
1808.25,53.47,96.6871275
1786.75,57.903,103.4581853
1772.75,60.365,107.0120538
1767,61.35,108.40545
1761.75,61.842,108.9501435
1749.25,61.842,108.1771185
1752,62.335,109.21092
1769.5,72.678,128.603721
1788.25,83.513,149.3421223
1811,85.482,154.807902
1812.25,85.482,154.9147545
1849.75,84.99,157.2102525
1862.75,84.497,157.3967868
1885.25,84.005,158.3704263
1897,83.02,157.48894
1922.25,82.527,158.6375258
1940.5,81.542,158.232251
1954.5,81.05,158.412225
1976.25,79.572,157.254165
1991.5,78.587,156.5060105
2006.5,77.602,155.708413
2019,77.602,156.678438
2033.75,77.11,156.8224625
2049.25,76.125,155.9991563
2035,76.617,155.915595
1975.75,78.095,154.2961963
1865,82.528,153.91472
1723,89.915,154.923545
1595.75,95.825,152.9127438
1497.5,104.197,156.0350075
1421.5,109.122,155.116923
1412.25,111.585,157.5859163
1442,110.107,158.774294
1466,108.137,158.528842
1474,108.137,159.393938
1481.5,108.137,160.2049655
1501,108.137,162.313637
1514,108.138,163.720932
1528.5,108.63,166.040955
1544.25,94.84,146.45667
1544.75,55.932,86.400957
1468.25,38.202,56.0900865
1499.25,32.785,49.15291125
1480.75,18.995,28.12684625
1505.75,17.517,26.37622275
1483.25,17.517,25.98209025
1502,17.517,26.310534
1493.75,17.517,26.16601875
1500.5,17.517,26.2842585
1488.25,17.025,25.33745625
1494.5,17.025,25.4438625
1494.25,16.532,24.702941
1489.25,16.532,24.620281
1488.75,16.532,24.612015
1486.75,16.532,24.578951
1489.75,16.532,24.628547
1482.5,16.532,24.50869
1487.25,16.532,24.587217
1482.25,16.532,24.504557
1487.5,16.532,24.59135
1483,17.025,25.248075
1486.5,16.532,24.574818
1483,15.547,23.056201
1482.25,11.115,16.47520875
1482.25,7.175,10.63514375
1475.25,1.757,2.59201425
1459.25,-0.705,-1.02877125
